Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Agent Disposition with Data File,Chrome 64.0.3282.167,"This is for obtaining a baseline of the current Contact Center version. Agents will login, nailup, initiate agent, take a call through dispositioning, login and close the browser.",2018-02-19 08:23:04,2018-02-19 08:23:30,25.662s,FAILED
,,,,,,
Test Cases/Reggression/Agent Enrollment,Chrome 64.0.3282.167,"Agent login, nail up, takes call and fills out scripts, logs out and closes browser. \nSTEPS.\n1. Once agent is waiting for a call make sure that calls are coming into the queue, then the script should complete.",2018-02-19 08:23:05,2018-02-19 08:23:30,25.284s,FAILED
openBrowser,Chrome 64.0.3282.167,,2018-02-19 08:23:05,2018-02-19 08:23:07,2.244s,PASSED
maximizeWindow,Chrome 64.0.3282.167,,2018-02-19 08:23:07,2018-02-19 08:23:08,0.736s,PASSED
waitForElementVisible,Chrome 64.0.3282.167,,2018-02-19 08:23:08,2018-02-19 08:23:08,0.069s,PASSED
setText,Chrome 64.0.3282.167,,2018-02-19 08:23:08,2018-02-19 08:23:08,0.138s,PASSED
setText,Chrome 64.0.3282.167,,2018-02-19 08:23:08,2018-02-19 08:23:08,0.104s,PASSED
sendKeys,Chrome 64.0.3282.167,,2018-02-19 08:23:08,2018-02-19 08:23:08,0.047s,PASSED
waitForElementVisible,Chrome 64.0.3282.167,,2018-02-19 08:23:08,2018-02-19 08:23:11,2.598s,PASSED
click,Chrome 64.0.3282.167,,2018-02-19 08:23:11,2018-02-19 08:23:11,0.064s,PASSED
click,Chrome 64.0.3282.167,,2018-02-19 08:23:11,2018-02-19 08:23:14,3.210s,PASSED
click,Chrome 64.0.3282.167,,2018-02-19 08:23:14,2018-02-19 08:23:15,0.574s,PASSED
waitForElementNotVisible,Chrome 64.0.3282.167,,2018-02-19 08:23:15,2018-02-19 08:23:20,5.170s,PASSED
click,Chrome 64.0.3282.167,,2018-02-19 08:23:20,2018-02-19 08:23:20,0.328s,PASSED
