Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Agent Disposition with Data File,Chrome 64.0.3282.167,"This is for obtaining a baseline of the current Contact Center version. Agents will login, nailup, initiate agent, take a call through dispositioning, login and close the browser.",2018-02-19 09:05:03,2018-02-19 09:05:37,34.527s,PASSED
,,,,,,
Test Cases/Reggression/Agent Enrollment,Chrome 64.0.3282.167,"Agent login, nail up, takes call and fills out scripts, logs out and closes browser. \nSTEPS.\n1. Once agent is waiting for a call make sure that calls are coming into the queue, then the script should complete.",2018-02-19 09:05:03,2018-02-19 09:05:37,34.247s,PASSED
openBrowser,Chrome 64.0.3282.167,,2018-02-19 09:05:03,2018-02-19 09:05:05,1.834s,PASSED
maximizeWindow,Chrome 64.0.3282.167,,2018-02-19 09:05:05,2018-02-19 09:05:05,0.395s,PASSED
waitForElementVisible,Chrome 64.0.3282.167,,2018-02-19 09:05:05,2018-02-19 09:05:06,0.081s,PASSED
setText,Chrome 64.0.3282.167,,2018-02-19 09:05:06,2018-02-19 09:05:06,0.116s,PASSED
setText,Chrome 64.0.3282.167,,2018-02-19 09:05:06,2018-02-19 09:05:06,0.087s,PASSED
sendKeys,Chrome 64.0.3282.167,,2018-02-19 09:05:06,2018-02-19 09:05:06,0.041s,PASSED
waitForElementVisible,Chrome 64.0.3282.167,,2018-02-19 09:05:06,2018-02-19 09:05:09,3.292s,PASSED
click,Chrome 64.0.3282.167,,2018-02-19 09:05:09,2018-02-19 09:05:09,0.067s,PASSED
click,Chrome 64.0.3282.167,,2018-02-19 09:05:09,2018-02-19 09:05:12,3.189s,PASSED
click,Chrome 64.0.3282.167,,2018-02-19 09:05:12,2018-02-19 09:05:13,0.571s,PASSED
waitForElementNotVisible,Chrome 64.0.3282.167,,2018-02-19 09:05:13,2018-02-19 09:05:18,5.191s,PASSED
click,Chrome 64.0.3282.167,,2018-02-19 09:05:18,2018-02-19 09:05:18,0.278s,PASSED
click,Chrome 64.0.3282.167,,2018-02-19 09:05:18,2018-02-19 09:05:19,0.577s,PASSED
selectOptionByValue,Chrome 64.0.3282.167,,2018-02-19 09:05:19,2018-02-19 09:05:22,2.734s,PASSED
waitForElementClickable,Chrome 64.0.3282.167,,2018-02-19 09:05:22,2018-02-19 09:05:22,0.045s,PASSED
click,Chrome 64.0.3282.167,,2018-02-19 09:05:22,2018-02-19 09:05:22,0.057s,PASSED
waitForElementVisible,Chrome 64.0.3282.167,,2018-02-19 09:05:22,2018-02-19 09:05:22,0.035s,PASSED
