Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Agent Disposition with Data File,Chrome 64.0.3282.167,"This is for obtaining a baseline of the current Contact Center version. Agents will login, nailup, initiate agent, take a call through dispositioning, login and close the browser.",2018-02-19 08:23:42,2018-02-19 08:24:16,34.304s,PASSED
,,,,,,
Test Cases/Reggression/Agent Enrollment,Chrome 64.0.3282.167,"Agent login, nail up, takes call and fills out scripts, logs out and closes browser. \nSTEPS.\n1. Once agent is waiting for a call make sure that calls are coming into the queue, then the script should complete.",2018-02-19 08:23:42,2018-02-19 08:24:16,34.035s,PASSED
openBrowser,Chrome 64.0.3282.167,,2018-02-19 08:23:42,2018-02-19 08:23:44,2.077s,PASSED
maximizeWindow,Chrome 64.0.3282.167,,2018-02-19 08:23:44,2018-02-19 08:23:45,0.709s,PASSED
waitForElementVisible,Chrome 64.0.3282.167,,2018-02-19 08:23:45,2018-02-19 08:23:45,0.072s,PASSED
setText,Chrome 64.0.3282.167,,2018-02-19 08:23:45,2018-02-19 08:23:45,0.152s,PASSED
setText,Chrome 64.0.3282.167,,2018-02-19 08:23:45,2018-02-19 08:23:45,0.103s,PASSED
sendKeys,Chrome 64.0.3282.167,,2018-02-19 08:23:45,2018-02-19 08:23:45,0.055s,PASSED
waitForElementVisible,Chrome 64.0.3282.167,,2018-02-19 08:23:45,2018-02-19 08:23:48,2.599s,PASSED
click,Chrome 64.0.3282.167,,2018-02-19 08:23:48,2018-02-19 08:23:48,0.064s,PASSED
click,Chrome 64.0.3282.167,,2018-02-19 08:23:48,2018-02-19 08:23:51,3.127s,PASSED
click,Chrome 64.0.3282.167,,2018-02-19 08:23:51,2018-02-19 08:23:52,0.570s,PASSED
waitForElementNotVisible,Chrome 64.0.3282.167,,2018-02-19 08:23:52,2018-02-19 08:23:57,5.165s,PASSED
click,Chrome 64.0.3282.167,,2018-02-19 08:23:57,2018-02-19 08:23:57,0.297s,PASSED
click,Chrome 64.0.3282.167,,2018-02-19 08:23:57,2018-02-19 08:23:58,0.574s,PASSED
selectOptionByValue,Chrome 64.0.3282.167,,2018-02-19 08:23:58,2018-02-19 08:24:01,2.742s,PASSED
waitForElementClickable,Chrome 64.0.3282.167,,2018-02-19 08:24:01,2018-02-19 08:24:01,0.049s,PASSED
click,Chrome 64.0.3282.167,,2018-02-19 08:24:01,2018-02-19 08:24:01,0.067s,PASSED
waitForElementVisible,Chrome 64.0.3282.167,,2018-02-19 08:24:01,2018-02-19 08:24:01,0.057s,PASSED
setText,Chrome 64.0.3282.167,,2018-02-19 08:24:01,2018-02-19 08:24:01,0.100s,PASSED
setText,Chrome 64.0.3282.167,,2018-02-19 08:24:01,2018-02-19 08:24:01,0.098s,PASSED
setText,Chrome 64.0.3282.167,,2018-02-19 08:24:01,2018-02-19 08:24:01,0.119s,PASSED
click,Chrome 64.0.3282.167,,2018-02-19 08:24:01,2018-02-19 08:24:01,0.074s,PASSED
waitForElementVisible,Chrome 64.0.3282.167,,2018-02-19 08:24:01,2018-02-19 08:24:01,0.039s,PASSED
selectOptionByValue,Chrome 64.0.3282.167,,2018-02-19 08:24:01,2018-02-19 08:24:01,0.136s,PASSED
setText,Chrome 64.0.3282.167,,2018-02-19 08:24:01,2018-02-19 08:24:01,0.152s,PASSED
click,Chrome 64.0.3282.167,,2018-02-19 08:24:01,2018-02-19 08:24:02,0.071s,PASSED
waitForElementVisible,Chrome 64.0.3282.167,,2018-02-19 08:24:02,2018-02-19 08:24:02,0.040s,PASSED
selectOptionByValue,Chrome 64.0.3282.167,,2018-02-19 08:24:02,2018-02-19 08:24:02,0.150s,PASSED
selectOptionByValue,Chrome 64.0.3282.167,,2018-02-19 08:24:02,2018-02-19 08:24:02,0.152s,PASSED
click,Chrome 64.0.3282.167,,2018-02-19 08:24:02,2018-02-19 08:24:02,0.066s,PASSED
selectOptionByValue,Chrome 64.0.3282.167,,2018-02-19 08:24:02,2018-02-19 08:24:02,0.180s,PASSED
waitForElementVisible,Chrome 64.0.3282.167,,2018-02-19 08:24:02,2018-02-19 08:24:02,0.035s,PASSED
setText,Chrome 64.0.3282.167,,2018-02-19 08:24:02,2018-02-19 08:24:02,0.105s,PASSED
click,Chrome 64.0.3282.167,,2018-02-19 08:24:02,2018-02-19 08:24:02,0.046s,PASSED
waitForElementVisible,Chrome 64.0.3282.167,,2018-02-19 08:24:02,2018-02-19 08:24:02,0.034s,PASSED
click,Chrome 64.0.3282.167,,2018-02-19 08:24:02,2018-02-19 08:24:02,0.056s,PASSED
click,Chrome 64.0.3282.167,,2018-02-19 08:24:02,2018-02-19 08:24:03,1.082s,PASSED
