Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Agent Disposition with Data File,Chrome 64.0.3282.167,"This is for obtaining a baseline of the current Contact Center version. Agents will login, nailup, initiate agent, take a call through dispositioning, login and close the browser.",2018-02-19 08:22:08,2018-02-19 08:22:50,41.636s,FAILED
,,,,,,
Test Cases/Reggression/Agent Enrollment,Chrome 64.0.3282.167,"Agent login, nail up, takes call and fills out scripts, logs out and closes browser. \nSTEPS.\n1. Once agent is waiting for a call make sure that calls are coming into the queue, then the script should complete.",2018-02-19 08:22:08,2018-02-19 08:22:50,41.270s,FAILED
openBrowser,Chrome 64.0.3282.167,,2018-02-19 08:22:09,2018-02-19 08:22:11,2.228s,PASSED
maximizeWindow,Chrome 64.0.3282.167,,2018-02-19 08:22:11,2018-02-19 08:22:12,0.736s,PASSED
waitForElementVisible,Chrome 64.0.3282.167,,2018-02-19 08:22:12,2018-02-19 08:22:12,0.090s,PASSED
setText,Chrome 64.0.3282.167,,2018-02-19 08:22:12,2018-02-19 08:22:12,0.187s,PASSED
setText,Chrome 64.0.3282.167,,2018-02-19 08:22:12,2018-02-19 08:22:12,0.111s,PASSED
sendKeys,Chrome 64.0.3282.167,,2018-02-19 08:22:12,2018-02-19 08:22:12,0.059s,PASSED
waitForElementVisible,Chrome 64.0.3282.167,,2018-02-19 08:22:12,2018-02-19 08:22:15,2.619s,PASSED
click,Chrome 64.0.3282.167,,2018-02-19 08:22:15,2018-02-19 08:22:15,0.064s,PASSED
click,Chrome 64.0.3282.167,,2018-02-19 08:22:15,2018-02-19 08:22:18,3.132s,PASSED
click,Chrome 64.0.3282.167,,2018-02-19 08:22:18,2018-02-19 08:22:19,0.579s,PASSED
waitForElementNotVisible,Chrome 64.0.3282.167,,2018-02-19 08:22:19,2018-02-19 08:22:24,5.159s,PASSED
click,Chrome 64.0.3282.167,,2018-02-19 08:22:24,2018-02-19 08:22:24,0.322s,PASSED
click,Chrome 64.0.3282.167,,2018-02-19 08:22:24,2018-02-19 08:22:25,0.575s,PASSED
selectOptionByValue,Chrome 64.0.3282.167,,2018-02-19 08:22:25,2018-02-19 08:22:27,2.818s,PASSED
waitForElementClickable,Chrome 64.0.3282.167,,2018-02-19 08:22:27,2018-02-19 08:22:28,0.046s,PASSED
click,Chrome 64.0.3282.167,,2018-02-19 08:22:28,2018-02-19 08:22:28,0.069s,PASSED
waitForElementVisible,Chrome 64.0.3282.167,,2018-02-19 08:22:28,2018-02-19 08:22:28,0.040s,PASSED
setText,Chrome 64.0.3282.167,,2018-02-19 08:22:28,2018-02-19 08:22:28,0.107s,PASSED
setText,Chrome 64.0.3282.167,,2018-02-19 08:22:28,2018-02-19 08:22:28,0.099s,PASSED
setText,Chrome 64.0.3282.167,,2018-02-19 08:22:28,2018-02-19 08:22:28,0.122s,PASSED
click,Chrome 64.0.3282.167,,2018-02-19 08:22:28,2018-02-19 08:22:28,0.071s,PASSED
waitForElementVisible,Chrome 64.0.3282.167,,2018-02-19 08:22:28,2018-02-19 08:22:28,0.037s,PASSED
selectOptionByValue,Chrome 64.0.3282.167,,2018-02-19 08:22:28,2018-02-19 08:22:28,0.136s,PASSED
setText,Chrome 64.0.3282.167,,2018-02-19 08:22:28,2018-02-19 08:22:28,0.138s,PASSED
click,Chrome 64.0.3282.167,,2018-02-19 08:22:28,2018-02-19 08:22:28,0.063s,PASSED
waitForElementVisible,Chrome 64.0.3282.167,,2018-02-19 08:22:28,2018-02-19 08:22:28,0.035s,PASSED
selectOptionByValue,Chrome 64.0.3282.167,,2018-02-19 08:22:28,2018-02-19 08:22:29,0.145s,PASSED
selectOptionByValue,Chrome 64.0.3282.167,,2018-02-19 08:22:29,2018-02-19 08:22:29,0.148s,PASSED
click,Chrome 64.0.3282.167,,2018-02-19 08:22:29,2018-02-19 08:22:29,0.059s,PASSED
selectOptionByValue,Chrome 64.0.3282.167,,2018-02-19 08:22:29,2018-02-19 08:22:29,0.149s,PASSED
waitForElementVisible,Chrome 64.0.3282.167,,2018-02-19 08:22:29,2018-02-19 08:22:29,0.041s,PASSED
setText,Chrome 64.0.3282.167,,2018-02-19 08:22:29,2018-02-19 08:22:29,0.104s,PASSED
click,Chrome 64.0.3282.167,,2018-02-19 08:22:29,2018-02-19 08:22:29,0.055s,PASSED
waitForElementVisible,Chrome 64.0.3282.167,,2018-02-19 08:22:29,2018-02-19 08:22:29,0.034s,PASSED
click,Chrome 64.0.3282.167,,2018-02-19 08:22:29,2018-02-19 08:22:29,0.049s,PASSED
click,Chrome 64.0.3282.167,,2018-02-19 08:22:29,2018-02-19 08:22:31,1.605s,PASSED
waitForElementVisible,Chrome 64.0.3282.167,,2018-02-19 08:22:31,2018-02-19 08:22:31,0.560s,PASSED
click,Chrome 64.0.3282.167,,2018-02-19 08:22:31,2018-02-19 08:22:31,0.061s,PASSED
waitForElementVisible,Chrome 64.0.3282.167,,2018-02-19 08:22:31,2018-02-19 08:22:32,1.058s,PASSED
selectOptionByValue,Chrome 64.0.3282.167,,2018-02-19 08:22:32,2018-02-19 08:22:33,0.153s,PASSED
selectOptionByValue,Chrome 64.0.3282.167,,2018-02-19 08:22:33,2018-02-19 08:22:33,0.158s,PASSED
selectOptionByValue,Chrome 64.0.3282.167,,2018-02-19 08:22:33,2018-02-19 08:22:33,0.159s,PASSED
waitForElementVisible,Chrome 64.0.3282.167,,2018-02-19 08:22:33,2018-02-19 08:22:33,0.041s,PASSED
click,Chrome 64.0.3282.167,,2018-02-19 08:22:33,2018-02-19 08:22:33,0.070s,PASSED
waitForElementVisible,Chrome 64.0.3282.167,,2018-02-19 08:22:33,2018-02-19 08:22:34,1.065s,PASSED
click,Chrome 64.0.3282.167,,2018-02-19 08:22:34,2018-02-19 08:22:34,0.091s,PASSED
waitForElementVisible,Chrome 64.0.3282.167,,2018-02-19 08:22:34,2018-02-19 08:22:50,15.364s,PASSED
selectOptionByValue,Chrome 64.0.3282.167,,2018-02-19 08:22:50,2018-02-19 08:22:50,0.147s,FAILED
