Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Agent Disposition with Data File,Chrome 64.0.3282.167,"This is for obtaining a baseline of the current Contact Center version. Agents will login, nailup, initiate agent, take a call through dispositioning, login and close the browser.",2018-02-19 08:58:38,2018-02-19 08:59:11,33.193s,PASSED
,,,,,,
Test Cases/Reggression/Agent Enrollment,Chrome 64.0.3282.167,"Agent login, nail up, takes call and fills out scripts, logs out and closes browser. \nSTEPS.\n1. Once agent is waiting for a call make sure that calls are coming into the queue, then the script should complete.",2018-02-19 08:58:38,2018-02-19 08:59:11,32.881s,PASSED
openBrowser,Chrome 64.0.3282.167,,2018-02-19 08:58:38,2018-02-19 08:58:40,1.803s,PASSED
maximizeWindow,Chrome 64.0.3282.167,,2018-02-19 08:58:40,2018-02-19 08:58:40,0.395s,PASSED
waitForElementVisible,Chrome 64.0.3282.167,,2018-02-19 08:58:40,2018-02-19 08:58:40,0.063s,PASSED
setText,Chrome 64.0.3282.167,,2018-02-19 08:58:40,2018-02-19 08:58:41,0.119s,PASSED
setText,Chrome 64.0.3282.167,,2018-02-19 08:58:41,2018-02-19 08:58:41,0.088s,PASSED
sendKeys,Chrome 64.0.3282.167,,2018-02-19 08:58:41,2018-02-19 08:58:41,0.048s,PASSED
waitForElementVisible,Chrome 64.0.3282.167,,2018-02-19 08:58:41,2018-02-19 08:58:43,2.599s,PASSED
click,Chrome 64.0.3282.167,,2018-02-19 08:58:43,2018-02-19 08:58:43,0.061s,PASSED
click,Chrome 64.0.3282.167,,2018-02-19 08:58:43,2018-02-19 08:58:47,3.146s,PASSED
click,Chrome 64.0.3282.167,,2018-02-19 08:58:47,2018-02-19 08:58:47,0.570s,PASSED
waitForElementNotVisible,Chrome 64.0.3282.167,,2018-02-19 08:58:47,2018-02-19 08:58:52,5.171s,PASSED
click,Chrome 64.0.3282.167,,2018-02-19 08:58:52,2018-02-19 08:58:53,0.335s,PASSED
click,Chrome 64.0.3282.167,,2018-02-19 08:58:53,2018-02-19 08:58:53,0.575s,PASSED
