Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Agent Disposition with Data File,Chrome 64.0.3282.167,"This is for obtaining a baseline of the current Contact Center version. Agents will login, nailup, initiate agent, take a call through dispositioning, login and close the browser.",2018-02-19 09:02:25,2018-02-19 09:03:00,34.337s,PASSED
,,,,,,
Test Cases/Reggression/Agent Enrollment,Chrome 64.0.3282.167,"Agent login, nail up, takes call and fills out scripts, logs out and closes browser. \nSTEPS.\n1. Once agent is waiting for a call make sure that calls are coming into the queue, then the script should complete.",2018-02-19 09:02:26,2018-02-19 09:03:00,34.010s,PASSED
openBrowser,Chrome 64.0.3282.167,,2018-02-19 09:02:26,2018-02-19 09:02:28,1.950s,PASSED
maximizeWindow,Chrome 64.0.3282.167,,2018-02-19 09:02:28,2018-02-19 09:02:28,0.401s,PASSED
waitForElementVisible,Chrome 64.0.3282.167,,2018-02-19 09:02:28,2018-02-19 09:02:28,0.084s,PASSED
setText,Chrome 64.0.3282.167,,2018-02-19 09:02:28,2018-02-19 09:02:29,0.130s,PASSED
setText,Chrome 64.0.3282.167,,2018-02-19 09:02:29,2018-02-19 09:02:29,0.092s,PASSED
sendKeys,Chrome 64.0.3282.167,,2018-02-19 09:02:29,2018-02-19 09:02:29,0.049s,PASSED
waitForElementVisible,Chrome 64.0.3282.167,,2018-02-19 09:02:29,2018-02-19 09:02:31,2.597s,PASSED
click,Chrome 64.0.3282.167,,2018-02-19 09:02:31,2018-02-19 09:02:31,0.062s,PASSED
click,Chrome 64.0.3282.167,,2018-02-19 09:02:31,2018-02-19 09:02:35,3.142s,PASSED
click,Chrome 64.0.3282.167,,2018-02-19 09:02:35,2018-02-19 09:02:35,0.569s,PASSED
waitForElementNotVisible,Chrome 64.0.3282.167,,2018-02-19 09:02:35,2018-02-19 09:02:40,5.189s,PASSED
click,Chrome 64.0.3282.167,,2018-02-19 09:02:40,2018-02-19 09:02:41,0.335s,PASSED
click,Chrome 64.0.3282.167,,2018-02-19 09:02:41,2018-02-19 09:02:41,0.572s,PASSED
selectOptionByValue,Chrome 64.0.3282.167,,2018-02-19 09:02:41,2018-02-19 09:02:44,2.747s,PASSED
waitForElementClickable,Chrome 64.0.3282.167,,2018-02-19 09:02:44,2018-02-19 09:02:44,0.045s,PASSED
click,Chrome 64.0.3282.167,,2018-02-19 09:02:44,2018-02-19 09:02:44,0.063s,PASSED
waitForElementVisible,Chrome 64.0.3282.167,,2018-02-19 09:02:44,2018-02-19 09:02:44,0.037s,PASSED
setText,Chrome 64.0.3282.167,,2018-02-19 09:02:44,2018-02-19 09:02:44,0.080s,PASSED
setText,Chrome 64.0.3282.167,,2018-02-19 09:02:44,2018-02-19 09:02:44,0.090s,PASSED
setText,Chrome 64.0.3282.167,,2018-02-19 09:02:44,2018-02-19 09:02:44,0.095s,PASSED
click,Chrome 64.0.3282.167,,2018-02-19 09:02:44,2018-02-19 09:02:44,0.068s,PASSED
waitForElementVisible,Chrome 64.0.3282.167,,2018-02-19 09:02:44,2018-02-19 09:02:44,0.037s,PASSED
selectOptionByValue,Chrome 64.0.3282.167,,2018-02-19 09:02:44,2018-02-19 09:02:45,0.138s,PASSED
setText,Chrome 64.0.3282.167,,2018-02-19 09:02:45,2018-02-19 09:02:45,0.091s,PASSED
click,Chrome 64.0.3282.167,,2018-02-19 09:02:45,2018-02-19 09:02:45,0.062s,PASSED
waitForElementVisible,Chrome 64.0.3282.167,,2018-02-19 09:02:45,2018-02-19 09:02:45,0.034s,PASSED
